Timestamp,Left Sensor Values,Right Sensor Values,Left Motor Speed,Right Motor Speed,Action Taken,Reward
1743694006.7057643,"[61.60455394270448, 66.83039183891319, 70.11542486395969, 64.93063205367022]","[64.93473809872776, 69.84891334879892, 67.2797762737595, 71.0005288591915]",2.94,2.94,Move Forward,1
1743694006.7067802,"[71.00232970353942, 66.97532554235619, 69.04923747046836, 66.13298915438094]","[65.1814748731116, 68.78600714611939, 64.51813511627343, 64.19443077571722]",2.94,2.94,Move Forward,1
1743694006.7276807,"[66.0489140725588, 69.5200391717406, 64.08473507772814, 67.37941858184395]","[66.58705531443566, 64.00172385323336, 68.43477205938383, 61.02928552364988]",2.94,2.94,Move Forward,1
1743694006.7276807,"[68.19446888992493, 62.73852068767644, 64.70579087942907, 64.82585171743116]","[66.5962860543612, 69.33000903218414, 72.36520865691129, 77.66088018593223]",2.94,2.94,,0
1743694006.7276807,"[67.38995048102235, 69.1459437570925, 68.03143010633288, 73.28201161373205]","[66.29680865927644, 75.05963398062659, 72.14225835230866, 71.82952717308947]",2.94,2.94,,0
1743694006.7434685,"[70.05887111468668, 68.45938644181113, 68.10623313004513, 69.47435152469842]","[64.81653064506779, 65.84942502023796, 67.63386395514527, 67.68694847738888]",2.94,2.94,Move Forward,1
1743694006.7434685,"[68.26566612316678, 63.977090639753634, 64.97994650145726, 69.80364990706575]","[68.53292398688916, 60.44383629667953, 65.40960487042054, 71.61977178193285]",2.94,2.94,Move Forward,1
1743694006.747524,"[61.08304121625122, 64.81566347712115, 68.83450051222306, 67.6713748985976]","[70.51400804883738, 70.53305660734921, 71.2331535049418, 62.70426522033861]",2.94,2.94,Turn Left,-1
1743694006.7590506,"[67.84275555263676, 64.9620656935114, 66.53523061676134, 65.63433757572432]","[66.25912301548948, 65.14656801546887, 67.48781510112907, 70.89638077656744]",2.94,2.94,Move Forward,1
1743694006.7671099,"[66.70523222625043, 69.57860819154764, 68.45714000787711, 69.18179880543511]","[72.07228297753755, 63.88653603785097, 70.21240850830432, 68.10650436049521]",2.94,2.94,Move Forward,1
1743694006.7671099,"[63.93030761970016, 67.5460744203481, 65.58889202253395, 70.75142888342315]","[65.11530560947352, 57.55679739069326, 71.66891987614186, 72.79515824438434]",2.94,2.94,Move Forward,1
1743694006.779686,"[68.88363469423108, 67.96822811360045, 59.91759350751059, 70.44373551592953]","[67.7424801385245, 61.935876407789614, 71.86714751410004, 62.97697019426108]",2.94,2.94,Move Forward,1
1743694006.779686,"[64.86489478572544, 64.37886847464853, 73.33785553714537, 66.57741822584765]","[71.62880599330025, 62.83843825505532, 69.73095253623872, 68.41774510566636]",2.94,2.94,Move Forward,1
1743694006.779686,"[69.4342126191179, 64.21991962298705, 62.05856642316769, 65.25175123494662]","[67.80903489616884, 75.58882724563257, 68.68228232622985, 67.71404436049659]",2.94,2.94,Move Forward,1
1743694006.7974691,"[67.1313692535349, 69.08951836223979, 64.69805490636143, 62.681070036660934]","[69.4682444737883, 62.994764953048524, 75.48248510626301, 67.76805542177145]",2.94,2.94,,0
1743694006.7974691,"[60.621618139376125, 66.94680100554386, 59.569401773136995, 69.19499455455633]","[62.02708167082245, 76.03938583535982, 69.9486325112908, 61.11794510113439]",2.94,2.94,,0
1743694006.7974691,"[64.77210952035684, 65.53997936878604, 69.66056359446348, 72.6940375791872]","[66.17111906584984, 64.48290572699078, 69.99155848327658, 66.51169494972697]",2.94,2.94,Turn Left,-1
1743694006.817363,"[70.29119634312704, 68.80899272795173, 69.93316219838199, 67.34808437071285]","[67.28677266615678, 69.73584003581107, 67.05759606860664, 68.57975809255444]",2.94,2.94,Move Forward,1
1743694006.817363,"[65.15052413343444, 66.65324597400127, 66.78943259857357, 67.94418204503765]","[62.09191768294429, 69.94049752351164, 70.270211442569, 70.8206671296129]",2.94,2.94,Move Forward,1
1743694006.817363,"[68.34520883388896, 68.66287926118123, 58.75393259858488, 63.2628671858288]","[65.32710422667913, 56.08950405865785, 70.21637712217183, 67.05204824742592]",2.94,2.94,Move Forward,1
1743694006.8375816,"[68.63351018003742, 66.80157636609998, 67.79922573429351, 67.24734536447393]","[67.17563779130072, 66.70782226324516, 71.65718287312501, 66.73442120859]",2.94,2.94,Move Forward,1
1743694006.8375816,"[65.1365713039673, 68.08960255206075, 67.18921379490693, 62.233255140879685]","[69.18939854752217, 66.59063429282875, 63.703116705044195, 64.69402976096212]",2.94,2.94,Move Forward,1
1743694006.8375816,"[62.48991501690449, 67.82043577354152, 69.41174347983892, 69.81582691180765]","[67.18394327187733, 63.899993298387315, 70.81674679132945, 66.94675070478714]",2.94,2.94,Move Forward,1
1743694006.8551838,"[65.9944812720689, 60.02375650040428, 64.68913699776087, 70.95986332135574]","[69.3481485108044, 68.81013803977399, 72.8475265885901, 70.22348529640429]",2.94,2.94,Move Forward,1
1743694006.8561444,"[67.60971276276068, 68.88603745226729, 76.02879797028511, 65.343085651339]","[64.83474407425334, 64.03271721709376, 67.93802567257471, 66.00593063955688]",2.94,2.94,,0
1743694006.8571413,"[71.37435306265381, 70.46145313934758, 64.84223933053164, 68.31021747182376]","[72.37499725961365, 69.04044910880235, 73.19568649565149, 65.07857736679142]",2.94,2.94,Move Forward,1
1743694006.8778796,"[61.153708158092876, 70.02914755758012, 67.0784423420995, 70.57090202204975]","[68.86741852420542, 71.6409636971672, 71.13809733749356, 63.08182565680517]",2.94,2.94,Move Forward,1
1743694006.8778796,"[70.2062665483798, 69.22178520299991, 61.744751397352715, 56.29603695576607]","[67.0221934635917, 70.65647426571985, 75.24642881235398, 67.10887273323281]",2.94,2.94,,0
1743694006.8778796,"[69.1366384977363, 67.9389440568884, 67.88922161852614, 63.56839898980187]","[65.9037950116283, 68.11827349510001, 64.42713139699228, 71.51532887478574]",2.94,2.94,Move Forward,1
1743694006.907585,"[60.904616637598785, 62.424796409431096, 64.31033178505707, 66.07859960281249]","[69.54090068579498, 63.2238058599672, 67.87847909753154, 67.03607790637399]",2.94,2.94,Move Forward,1
1743694006.907585,"[72.45259490509656, 63.653753735054835, 69.88473976332524, 70.08185658575935]","[70.58127762649228, 67.11296046869715, 71.312994493237, 62.8848646310633]",2.94,2.94,Move Forward,1
1743694006.907585,"[68.73590609219423, 70.75931004939794, 63.95483056952913, 80.23126250212363]","[66.26385052191881, 66.32377642536181, 67.71128296518671, 65.57290647603891]",2.94,2.94,,0
1743694006.9272833,"[60.29108144058894, 65.24262393575329, 66.92486287064956, 69.60200805888928]","[66.79734949288417, 66.31780160049924, 65.73243171238693, 66.63059164575631]",2.94,2.94,Move Forward,1
1743694006.935666,"[75.4279720122619, 70.94799503758614, 62.2937760112908, 69.02948346315296]","[71.59288471007, 72.41873490858967, 70.56430725403968, 71.96117762388212]",2.94,2.94,,0
1743694006.9371858,"[60.268951833539525, 64.94076504418291, 68.20473492719489, 65.52863479497157]","[64.64478467360772, 65.98768439985672, 66.01569091757855, 71.33692337953762]",2.94,2.94,Move Forward,1
1743694006.9571574,"[61.885831857473555, 66.83007372972597, 66.73777752416605, 64.99979602031999]","[68.35835465263028, 67.77316842902326, 66.4244239818531, 74.6173265692092]",2.94,2.94,Move Forward,1
1743694006.9571574,"[70.76601770912937, 61.350846987048335, 66.7528023170123, 72.9837479756856]","[70.87598078705322, 72.27052635911721, 73.21315056489235, 72.23577039255221]",2.94,2.94,Move Forward,1
1743694006.9571574,"[60.78097719868294, 61.83370242741243, 73.22750144041524, 64.86724428342217]","[65.07785437665501, 62.36613524015855, 65.11768848206705, 69.71000640987208]",2.94,2.94,Move Forward,1
